"DEMFAM001","CO00SCR001","OPERACIÓN",0,"FLAG","co.com.experian.omnia.motorcrts.core.funciones.Flag"
"ENDFAM003","CO01END016RO","VENTANA",3,"EN LOS ULTIMOS 6 MESES","<=6"
"ENDFAM003","CO01END016RO","SALDO",4,"*","*"
"ENDFAM003","CO01END016RO","SALDO MORA",5,"*","*"
"ENDFAM003","CO01END016RO","CUOTA",6,"*","*"
"ENDFAM003","CO01END016RO","CUPO",7,"*","*"
"ENDFAM003","CO01END016RO","PORTAFOLIO",8,"ROTATIVO (RO)","RO"
"ENDFAM003","CO01END016RO","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM003","CO01END016RO","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM003","CO01END016TC_NSCR","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM003","CO01END016TC_NSCR","ESTADO",2,"*","*"
"ENDFAM003","CO01END016TC_NSCR","VENTANA",3,"EN LOS ULTIMOS 6 MESES","<=6"
"ENDFAM003","CO01END016TC_NSCR","SALDO",4,"*","*"
"ENDFAM003","CO01END016TC_NSCR","SALDO MORA",5,"*","*"
"ENDFAM003","CO01END016TC_NSCR","CUOTA",6,"*","*"
"ENDFAM003","CO01END016TC_NSCR","CUPO",7,"*","*"
"ENDFAM003","CO01END016TC_NSCR","PORTAFOLIO",8,"TARJETAS DE CREDITO","TC_NSCR"
"ENDFAM003","CO01END016TC_NSCR","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM003","CO01END016TC_NSCR","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM003","CO01END016VE","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM003","CO01END016VE","ESTADO",2,"*","*"
"ENDFAM003","CO01END016VE","VENTANA",3,"EN LOS ULTIMOS 6 MESES","<=6"
"ENDFAM003","CO01END016VE","SALDO",4,"*","*"
"ENDFAM003","CO01END016VE","SALDO MORA",5,"*","*"
"ENDFAM003","CO01END016VE","CUOTA",6,"*","*"
"ENDFAM003","CO01END016VE","CUPO",7,"*","*"
"ENDFAM003","CO01END016VE","PORTAFOLIO",8,"VEHICULOS (VE)","VE"
"ENDFAM003","CO01END016VE","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM003","CO01END016VE","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM003","CO01END021CO","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM003","CO01END021CO","ESTADO",2,"*","*"
"ENDFAM003","CO01END021CO","VENTANA",3,"EN LOS ULTIMOS 9 MESES","<=9"
"ENDFAM003","CO01END021CO","SALDO",4,"*","*"
"ENDFAM003","CO01END021CO","SALDO MORA",5,"*","*"
"ENDFAM003","CO01END021CO","CUOTA",6,"*","*"
"ENDFAM003","CO01END021CO","CUPO",7,"*","*"
"ENDFAM003","CO01END021CO","PORTAFOLIO",8,"CODEUDOR (CO)","CO"
"ENDFAM003","CO01END021CO","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM003","CO01END021CO","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM003","CO01END021HP","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM003","CO01END021HP","ESTADO",2,"*","*"
"ENDFAM003","CO01END021HP","VENTANA",3,"EN LOS ULTIMOS 9 MESES","<=9"
"ENDFAM003","CO01END021HP","SALDO",4,"*","*"
"ENDFAM003","CO01END021HP","SALDO MORA",5,"*","*"
"ENDFAM003","CO01END021HP","CUOTA",6,"*","*"
"ENDFAM003","CO01END021HP","CUPO",7,"*","*"
"ENDFAM003","CO01END021HP","PORTAFOLIO",8,"HIPOTECARIO (HP)","HP"
"ENDFAM003","CO01END021HP","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM003","CO01END021HP","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM003","CO01END021IN","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM003","CO01END021IN","ESTADO",2,"*","*"
"ENDFAM003","CO01END021IN","VENTANA",3,"EN LOS ULTIMOS 9 MESES","<=9"
"ENDFAM003","CO01END021IN","SALDO",4,"*","*"
"ENDFAM003","CO01END021IN","SALDO MORA",5,"*","*"
"ENDFAM003","CO01END021IN","CUOTA",6,"*","*"
"ENDFAM003","CO01END021IN","CUPO",7,"*","*"
"ENDFAM003","CO01END021IN","PORTAFOLIO",8,"INSTALAMENTOS (IN)","IN"
"ENDFAM003","CO01END021IN","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM003","CO01END021IN","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM003","CO01END021OT","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM003","CO01END021OT","ESTADO",2,"*","*"
"ENDFAM003","CO01END021OT","VENTANA",3,"EN LOS ULTIMOS 9 MESES","<=9"
"ENDFAM003","CO01END021OT","SALDO",4,"*","*"
"ENDFAM003","CO01END021OT","SALDO MORA",5,"*","*"
"ENDFAM003","CO01END021OT","CUOTA",6,"*","*"
"ENDFAM003","CO01END021OT","CUPO",7,"*","*"
"ENDFAM003","CO01END021OT","PORTAFOLIO",8,"OTROS (OT)","OT"
"ENDFAM003","CO01END021OT","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM003","CO01END021OT","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM003","CO01END021RO","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM003","CO01END021RO","ESTADO",2,"*","*"
"ENDFAM003","CO01END021RO","VENTANA",3,"EN LOS ULTIMOS 9 MESES","<=9"
"ENDFAM003","CO01END021RO","SALDO",4,"*","*"
"ENDFAM003","CO01END021RO","SALDO MORA",5,"*","*"
"ENDFAM003","CO01END021RO","CUOTA",6,"*","*"
"ENDFAM003","CO01END021RO","CUPO",7,"*","*"
"ENDFAM003","CO01END021RO","PORTAFOLIO",8,"ROTATIVO (RO)","RO"
"ENDFAM003","CO01END021RO","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM003","CO01END021RO","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM003","CO01END021VE","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM003","CO01END021VE","ESTADO",2,"*","*"
"ENDFAM003","CO01END021VE","VENTANA",3,"EN LOS ULTIMOS 9 MESES","<=9"
"ENDFAM003","CO01END021VE","SALDO",4,"*","*"
"ENDFAM003","CO01END021VE","SALDO MORA",5,"*","*"
"ENDFAM003","CO01END021VE","CUOTA",6,"*","*"
"ENDFAM003","CO01END021VE","CUPO",7,"*","*"
"ENDFAM003","CO01END021VE","PORTAFOLIO",8,"VEHICULOS (VE)","VE"
"ENDFAM003","CO01END021VE","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM003","CO01END021VE","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM003","CO01END026CO","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM003","CO01END026CO","ESTADO",2,"*","*"
"ENDFAM003","CO01END026CO","VENTANA",3,"EN LOS ULTIMOS 12 MESES","<=12"
"ENDFAM003","CO01END026CO","SALDO",4,"*","*"
"ENDFAM003","CO01END026CO","SALDO MORA",5,"*","*"
"ENDFAM003","CO01END026CO","CUOTA",6,"*","*"
"ENDFAM003","CO01END026CO","CUPO",7,"*","*"
"ENDFAM003","CO01END026CO","PORTAFOLIO",8,"CODEUDOR (CO)","CO"
"ENDFAM003","CO01END026CO","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM003","CO01END026CO","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM003","CO01END026HP","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM003","CO01END026HP","ESTADO",2,"*","*"
"ENDFAM003","CO01END026HP","VENTANA",3,"EN LOS ULTIMOS 12 MESES","<=12"
"ENDFAM003","CO01END026HP","SALDO",4,"*","*"
"ENDFAM003","CO01END026HP","SALDO MORA",5,"*","*"
"ENDFAM003","CO01END026HP","CUOTA",6,"*","*"
"ENDFAM003","CO01END026HP","CUPO",7,"*","*"
"ENDFAM003","CO01END026HP","PORTAFOLIO",8,"HIPOTECARIO (HP)","HP"
"ENDFAM003","CO01END026HP","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM003","CO01END026HP","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM003","CO01END026IN","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM003","CO01END026IN","ESTADO",2,"*","*"
"ENDFAM003","CO01END026IN","VENTANA",3,"EN LOS ULTIMOS 12 MESES","<=12"
"ENDFAM003","CO01END026IN","SALDO",4,"*","*"
"ENDFAM003","CO01END026IN","SALDO MORA",5,"*","*"
"ENDFAM003","CO01END026IN","CUOTA",6,"*","*"
"ENDFAM003","CO01END026IN","CUPO",7,"*","*"
"ENDFAM003","CO01END026IN","PORTAFOLIO",8,"INSTALAMENTOS (IN)","IN"
"ENDFAM003","CO01END026IN","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM003","CO01END026IN","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM003","CO01END026OT","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM003","CO01END026OT","ESTADO",2,"*","*"
"ENDFAM003","CO01END026OT","VENTANA",3,"EN LOS ULTIMOS 12 MESES","<=12"
"ENDFAM003","CO01END026OT","SALDO",4,"*","*"
"ENDFAM003","CO01END026OT","SALDO MORA",5,"*","*"
"ENDFAM003","CO01END026OT","CUOTA",6,"*","*"
"ENDFAM003","CO01END026OT","CUPO",7,"*","*"
"ENDFAM003","CO01END026OT","PORTAFOLIO",8,"OTROS (OT)","OT"
"ENDFAM003","CO01END026OT","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM003","CO01END026OT","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM003","CO01END026RO","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM003","CO01END026RO","ESTADO",2,"*","*"
"ENDFAM003","CO01END026RO","VENTANA",3,"EN LOS ULTIMOS 12 MESES","<=12"
"ENDFAM003","CO01END026RO","SALDO",4,"*","*"
"ENDFAM003","CO01END026RO","SALDO MORA",5,"*","*"
"ENDFAM003","CO01END026RO","CUOTA",6,"*","*"
"ENDFAM003","CO01END026RO","CUPO",7,"*","*"
"ENDFAM003","CO01END026RO","PORTAFOLIO",8,"ROTATIVO (RO)","RO"
"ENDFAM003","CO01END026RO","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM003","CO01END026RO","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM003","CO01END026VE","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM003","CO01END026VE","ESTADO",2,"*","*"
"ENDFAM003","CO01END026VE","VENTANA",3,"EN LOS ULTIMOS 12 MESES","<=12"
"ENDFAM003","CO01END026VE","SALDO",4,"*","*"
"ENDFAM003","CO01END026VE","SALDO MORA",5,"*","*"
"ENDFAM003","CO01END026VE","CUOTA",6,"*","*"
"ENDFAM003","CO01END026VE","CUPO",7,"*","*"
"ENDFAM003","CO01END026VE","PORTAFOLIO",8,"VEHICULOS (VE)","VE"
"ENDFAM003","CO01END026VE","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM003","CO01END026VE","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM003","CO01END031CO","OPERACIÓN",1,"SUMA","co.com.experian.omnia.motorcrts.core.funciones.Suma"
"ENDFAM003","CO01END031CO","ESTADO",2,"*","*"
"ENDFAM003","CO01END031CO","VENTANA",3,"HACE 3 MESES","=3"
"ENDFAM003","CO01END031CO","SALDO",4,"*","*"
"ENDFAM003","CO01END031CO","SALDO MORA",5,"*","*"
"ENDFAM003","CO01END031CO","CUOTA",6,"*","*"
"ENDFAM003","CO01END031CO","CUPO",7,"*","*"
"ENDFAM003","CO01END031CO","PORTAFOLIO",8,"CODEUDOR (CO)","CO"
"ENDFAM003","CO01END031CO","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM003","CO01END031CO","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM003","CO01END031HP","OPERACIÓN",1,"SUMA","co.com.experian.omnia.motorcrts.core.funciones.Suma"
"ENDFAM003","CO01END031HP","ESTADO",2,"*","*"
"ENDFAM003","CO01END031HP","VENTANA",3,"HACE 3 MESES","=3"
"ENDFAM003","CO01END031HP","SALDO",4,"*","*"
"ENDFAM003","CO01END031HP","SALDO MORA",5,"*","*"
"ENDFAM003","CO01END031HP","CUOTA",6,"*","*"
"ENDFAM003","CO01END031HP","CUPO",7,"*","*"
"ENDFAM003","CO01END031HP","PORTAFOLIO",8,"HIPOTECARIO (HP)","HP"
"ENDFAM003","CO01END031HP","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM003","CO01END031HP","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM003","CO01END031IN","OPERACIÓN",1,"SUMA","co.com.experian.omnia.motorcrts.core.funciones.Suma"
"ENDFAM003","CO01END031IN","ESTADO",2,"*","*"
"ENDFAM003","CO01END031IN","VENTANA",3,"HACE 3 MESES","=3"
"ENDFAM003","CO01END031IN","SALDO",4,"*","*"
"ENDFAM003","CO01END031IN","SALDO MORA",5,"*","*"
"ENDFAM003","CO01END031IN","CUOTA",6,"*","*"
"ENDFAM003","CO01END031IN","CUPO",7,"*","*"
"ENDFAM003","CO01END031IN","PORTAFOLIO",8,"INSTALAMENTOS (IN)","IN"
"ENDFAM003","CO01END031IN","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM003","CO01END031IN","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM003","CO01END031OT","OPERACIÓN",1,"SUMA","co.com.experian.omnia.motorcrts.core.funciones.Suma"
"ENDFAM003","CO01END031OT","ESTADO",2,"*","*"
"ENDFAM003","CO01END031OT","VENTANA",3,"HACE 3 MESES","=3"
"ENDFAM003","CO01END031OT","SALDO",4,"*","*"
"ENDFAM003","CO01END031OT","SALDO MORA",5,"*","*"
"ENDFAM003","CO01END031OT","CUOTA",6,"*","*"
"ENDFAM003","CO01END031OT","CUPO",7,"*","*"
"ENDFAM003","CO01END031OT","PORTAFOLIO",8,"OTROS (OT)","OT"
"ENDFAM003","CO01END031OT","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM003","CO01END031OT","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM003","CO01END031RO","OPERACIÓN",1,"SUMA","co.com.experian.omnia.motorcrts.core.funciones.Suma"
"ENDFAM003","CO01END031RO","ESTADO",2,"*","*"
"ENDFAM003","CO01END031RO","VENTANA",3,"HACE 3 MESES","=3"
"ENDFAM003","CO01END031RO","SALDO",4,"*","*"
"ENDFAM003","CO01END031RO","SALDO MORA",5,"*","*"
"ENDFAM003","CO01END031RO","CUOTA",6,"*","*"
"ENDFAM003","CO01END031RO","CUPO",7,"*","*"
"ENDFAM003","CO01END031RO","PORTAFOLIO",8,"ROTATIVO (RO)","RO"
"ENDFAM003","CO01END031RO","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM003","CO01END031RO","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM003","CO01END031SRE","OPERACIÓN",1,"SUMA","co.com.experian.omnia.motorcrts.core.funciones.Suma"
"ENDFAM003","CO01END031SRE","ESTADO",2,"*","*"
"ENDFAM003","CO01END031SRE","VENTANA",3,"HACE 3 MESES","=3"
"ENDFAM003","CO01END031SRE","SALDO",4,"*","*"
"ENDFAM003","CO01END031SRE","SALDO MORA",5,"*","*"
"ENDFAM003","CO01END031SRE","CUOTA",6,"*","*"
"ENDFAM003","CO01END031SRE","CUPO",7,"*","*"
"ENDFAM003","CO01END031SRE","PORTAFOLIO",8,"SECTOR REAL (SRE)","SRE"
"ENDFAM003","CO01END031SRE","PORTAFOLIO",8,"SECTOR SERVICIOS (SSE)","SSE"
"ENDFAM003","CO01END031SRE","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM003","CO01END031SRE","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM003","CO01END031VE","OPERACIÓN",1,"SUMA","co.com.experian.omnia.motorcrts.core.funciones.Suma"
"ENDFAM003","CO01END031VE","ESTADO",2,"*","*"
"ENDFAM003","CO01END031VE","VENTANA",3,"HACE 3 MESES","=3"
"ENDFAM003","CO01END031VE","SALDO",4,"*","*"
"ENDFAM003","CO01END031VE","SALDO MORA",5,"*","*"
"ENDFAM003","CO01END031VE","CUOTA",6,"*","*"
"ENDFAM003","CO01END031VE","CUPO",7,"*","*"
"ENDFAM003","CO01END031VE","PORTAFOLIO",8,"VEHICULOS (VE)","VE"
"ENDFAM003","CO01END031VE","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM003","CO01END031VE","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM003","CO01END032CO","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM003","CO01END032CO","ESTADO",2,"*","*"
"ENDFAM003","CO01END032CO","VENTANA",3,"HACE 3 MESES","=3"
"ENDFAM003","CO01END032CO","SALDO",4,"*","*"
"ENDFAM003","CO01END032CO","SALDO MORA",5,"*","*"
"ENDFAM003","CO01END032CO","CUOTA",6,"*","*"
"ENDFAM003","CO01END032CO","CUPO",7,"*","*"
"ENDFAM003","CO01END032CO","PORTAFOLIO",8,"CODEUDOR (CO)","CO"
"ENDFAM003","CO01END032CO","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM003","CO01END032CO","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM003","CO01END032HP","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM003","CO01END032HP","ESTADO",2,"*","*"
"ENDFAM003","CO01END032HP","VENTANA",3,"HACE 3 MESES","=3"
"ENDFAM003","CO01END032HP","SALDO",4,"*","*"
"ENDFAM003","CO01END032HP","SALDO MORA",5,"*","*"
"ENDFAM003","CO01END032HP","CUOTA",6,"*","*"
"ENDFAM003","CO01END032HP","CUPO",7,"*","*"
"ENDFAM003","CO01END032HP","PORTAFOLIO",8,"HIPOTECARIO (HP)","HP"
"ENDFAM003","CO01END032HP","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM003","CO01END032HP","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM003","CO01END032IN","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM003","CO01END032IN","ESTADO",2,"*","*"
"ENDFAM003","CO01END032IN","VENTANA",3,"HACE 3 MESES","=3"
"ENDFAM003","CO01END032IN","SALDO",4,"*","*"
"ENDFAM003","CO01END032IN","SALDO MORA",5,"*","*"
"ENDFAM003","CO01END032IN","CUOTA",6,"*","*"
"ENDFAM003","CO01END032IN","CUPO",7,"*","*"
"ENDFAM003","CO01END032IN","PORTAFOLIO",8,"INSTALAMENTOS (IN)","IN"
"ENDFAM003","CO01END032IN","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM003","CO01END032IN","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM003","CO01END032OT","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM003","CO01END032OT","ESTADO",2,"*","*"
"ENDFAM003","CO01END032OT","VENTANA",3,"HACE 3 MESES","=3"
"ENDFAM003","CO01END032OT","SALDO",4,"*","*"
"ENDFAM003","CO01END032OT","SALDO MORA",5,"*","*"
"ENDFAM003","CO01END032OT","CUOTA",6,"*","*"
"ENDFAM003","CO01END032OT","CUPO",7,"*","*"
"ENDFAM003","CO01END032OT","PORTAFOLIO",8,"OTROS (OT)","OT"
"ENDFAM003","CO01END032OT","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM003","CO01END032OT","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM003","CO01END032RO","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM003","CO01END032RO","ESTADO",2,"*","*"
"ENDFAM003","CO01END032RO","VENTANA",3,"HACE 3 MESES","=3"
"ENDFAM003","CO01END032RO","SALDO",4,"*","*"
"ENDFAM003","CO01END032RO","SALDO MORA",5,"*","*"
"ENDFAM003","CO01END032RO","CUOTA",6,"*","*"
"ENDFAM003","CO01END032RO","CUPO",7,"*","*"
"ENDFAM003","CO01END032RO","PORTAFOLIO",8,"ROTATIVO (RO)","RO"
"ENDFAM003","CO01END032RO","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM003","CO01END032RO","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM003","CO01END032VE","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM003","CO01END032VE","ESTADO",2,"*","*"
"ENDFAM003","CO01END032VE","VENTANA",3,"HACE 3 MESES","=3"
"ENDFAM003","CO01END032VE","SALDO",4,"*","*"
"ENDFAM003","CO01END032VE","SALDO MORA",5,"*","*"
"ENDFAM003","CO01END032VE","CUOTA",6,"*","*"
"ENDFAM003","CO01END032VE","CUPO",7,"*","*"
"ENDFAM003","CO01END032VE","PORTAFOLIO",8,"VEHICULOS (VE)","VE"
"ENDFAM003","CO01END032VE","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM003","CO01END032VE","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM003","CO01END041CO","OPERACIÓN",1,"SUMA","co.com.experian.omnia.motorcrts.core.funciones.Suma"
"ENDFAM003","CO01END041CO","ESTADO",2,"*","*"
"ENDFAM003","CO01END041CO","VENTANA",3,"HACE 6 MESES","=6"
"ENDFAM003","CO01END041CO","SALDO",4,"*","*"
"ENDFAM003","CO01END041CO","SALDO MORA",5,"*","*"
"ENDFAM003","CO01END041CO","CUOTA",6,"*","*"
"ENDFAM003","CO01END041CO","CUPO",7,"*","*"
"ENDFAM003","CO01END041CO","PORTAFOLIO",8,"CODEUDOR (CO)","CO"
"ENDFAM003","CO01END041CO","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM003","CO01END041CO","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM003","CO01END041HP","OPERACIÓN",1,"SUMA","co.com.experian.omnia.motorcrts.core.funciones.Suma"
"ENDFAM003","CO01END041HP","ESTADO",2,"*","*"
"ENDFAM003","CO01END041HP","VENTANA",3,"HACE 6 MESES","=6"
"ENDFAM003","CO01END041HP","SALDO",4,"*","*"
"ENDFAM003","CO01END041HP","SALDO MORA",5,"*","*"
"ENDFAM003","CO01END041HP","CUOTA",6,"*","*"
"ENDFAM003","CO01END041HP","CUPO",7,"*","*"
"ENDFAM003","CO01END041HP","PORTAFOLIO",8,"HIPOTECARIO (HP)","HP"
"ENDFAM003","CO01END041HP","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM003","CO01END041HP","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM003","CO01END041IN","OPERACIÓN",1,"SUMA","co.com.experian.omnia.motorcrts.core.funciones.Suma"
"ENDFAM003","CO01END041IN","ESTADO",2,"*","*"
"ENDFAM003","CO01END041IN","VENTANA",3,"HACE 6 MESES","=6"
"ENDFAM003","CO01END041IN","SALDO",4,"*","*"
"ENDFAM003","CO01END041IN","SALDO MORA",5,"*","*"
"ENDFAM003","CO01END041IN","CUOTA",6,"*","*"
"ENDFAM003","CO01END041IN","CUPO",7,"*","*"
"ENDFAM003","CO01END041IN","PORTAFOLIO",8,"INSTALAMENTOS (IN)","IN"
"ENDFAM003","CO01END041IN","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM003","CO01END041IN","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM003","CO01END041OT","OPERACIÓN",1,"SUMA","co.com.experian.omnia.motorcrts.core.funciones.Suma"
"ENDFAM003","CO01END041OT","ESTADO",2,"*","*"
"ENDFAM003","CO01END041OT","VENTANA",3,"HACE 6 MESES","=6"
"ENDFAM003","CO01END041OT","SALDO",4,"*","*"
"ENDFAM003","CO01END041OT","SALDO MORA",5,"*","*"
"ENDFAM003","CO01END041OT","CUOTA",6,"*","*"
"ENDFAM003","CO01END041OT","CUPO",7,"*","*"
"ENDFAM003","CO01END041OT","PORTAFOLIO",8,"OTROS (OT)","OT"
"ENDFAM003","CO01END041OT","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM003","CO01END041OT","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM003","CO01END041RO","OPERACIÓN",1,"SUMA","co.com.experian.omnia.motorcrts.core.funciones.Suma"
"ENDFAM003","CO01END041RO","ESTADO",2,"*","*"
"ENDFAM003","CO01END041RO","VENTANA",3,"HACE 6 MESES","=6"
"ENDFAM003","CO01END041RO","SALDO",4,"*","*"
"ENDFAM003","CO01END041RO","SALDO MORA",5,"*","*"
"ENDFAM003","CO01END041RO","CUOTA",6,"*","*"
"ENDFAM003","CO01END041RO","CUPO",7,"*","*"
"ENDFAM003","CO01END041RO","PORTAFOLIO",8,"ROTATIVO (RO)","RO"
"ENDFAM003","CO01END041RO","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM003","CO01END041RO","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM003","CO01END041VE","OPERACIÓN",1,"SUMA","co.com.experian.omnia.motorcrts.core.funciones.Suma"
"ENDFAM003","CO01END041VE","ESTADO",2,"*","*"
"ENDFAM003","CO01END041VE","VENTANA",3,"HACE 6 MESES","=6"
"ENDFAM003","CO01END041VE","SALDO",4,"*","*"
"ENDFAM003","CO01END041VE","SALDO MORA",5,"*","*"
"ENDFAM003","CO01END041VE","CUOTA",6,"*","*"
"ENDFAM003","CO01END041VE","CUPO",7,"*","*"
"ENDFAM003","CO01END041VE","PORTAFOLIO",8,"VEHICULOS (VE)","VE"
"ENDFAM003","CO01END041VE","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM003","CO01END041VE","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM003","CO01END042CO","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM003","CO01END042CO","ESTADO",2,"*","*"
"ENDFAM003","CO01END042CO","VENTANA",3,"HACE 6 MESES","=6"
"ENDFAM003","CO01END042CO","SALDO",4,"*","*"
"ENDFAM003","CO01END042CO","SALDO MORA",5,"*","*"
"ENDFAM003","CO01END042CO","CUOTA",6,"*","*"
"ENDFAM003","CO01END042CO","CUPO",7,"*","*"
"ENDFAM003","CO01END042CO","PORTAFOLIO",8,"CODEUDOR (CO)","CO"
"ENDFAM003","CO01END042CO","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM003","CO01END042CO","LISTA SUSCRIPTORES",10,"TODOS","*"
